4V5S.pickle,20
6ZWU.pickle,0
4IOA.pickle,0
8AML.pickle,0
3SYW.pickle,0
4ALP.pickle,0
7L08.pickle,0
2R7T.pickle,0
6D6V.pickle,0
1E4P.pickle,0
7FJJ.pickle,0
6NY6.pickle,2
4QU7.pickle,0
7ST7.pickle,0
1MFK.pickle,0
4RC0.pickle,2
5V0K.pickle,4
2GQ6.pickle,32
4L81.pickle,0
3CPW.pickle,1
3AGV.pickle,18
6HIX.pickle,0
5JUS.pickle,0
2NBY.pickle,0
4E48.pickle,0
7EOI.pickle,0
1O15.pickle,0
6UFM.pickle,0
1J5A.pickle,0
7RDZ.pickle,0
7JRT.pickle,0
6CXZ.pickle,2
6S91.pickle,0
4X4P.pickle,0
7LNF.pickle,0
5VO8.pickle,1
7E9I.pickle,0
7CGH.pickle,0
6AJK.pickle,0
8BDR.pickle,3
5UZ4.pickle,0
7OID.pickle,0
6RW5.pickle,5
5LJ5.pickle,0
3KTV.pickle,1
6SZV.pickle,1
6LQM.pickle,99
5FK5.pickle,0
7K5I.pickle,0
6DCC.pickle,1
4ADV.pickle,0
4DV0.pickle,14
6AZ4.pickle,0
6YAL.pickle,2
6Z6N.pickle,0
7ORI.pickle,0
3BNL.pickle,0
3R1C.pickle,0
7S1K.pickle,24
7V9X.pickle,0
6EM3.pickle,0
4CXG.pickle,11
5UEG.pickle,12
6WDK.pickle,0
5Z4D.pickle,0
3G71.pickle,5
5LJ3.pickle,0
7RIQ.pickle,0
2OTJ.pickle,5
7PDV.pickle,0
4OI1.pickle,0
6G5I.pickle,0
6PCQ.pickle,21
6ZYB.pickle,1
2EEU.pickle,0
4FRN.pickle,0
4AL7.pickle,0
7OF5.pickle,3
6DOV.pickle,0
7JSZ.pickle,0
7PJS.pickle,45
5AH5.pickle,0
7X7A.pickle,0
4G9Z.pickle,0
2HUA.pickle,0
7ZOL.pickle,0
6YMM.pickle,2
4V5B.pickle,0
5ZSC.pickle,0
5NCO.pickle,0
8AD1.pickle,0
7ECW.pickle,0
4TS0.pickle,2
1OB2.pickle,14
7ST6.pickle,0
3J0Q.pickle,0
8D9L.pickle,0
1YLS.pickle,12
8EEX.pickle,0
2P7D.pickle,0
6H4N.pickle,0
2AO5.pickle,4
2Z74.pickle,0
2Q66.pickle,0
3IZ4.pickle,0
3BO4.pickle,2
3IY8.pickle,0
